checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,default,age_group,amount_bucket,debt_burden,credit_hist_score,checking_score,risk_score,risk_segment
A11,6,A34,A43,1169,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,1,0,60+,Low,4.68,1,4,1.95,Low Risk
A12,48,A32,A43,5951,A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,2,1,18-24,High,11.9,2,2,2.29,Medium Risk
A14,12,A34,A46,2096,A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,1,0,45-59,Medium,4.19,1,3,1.61,Low Risk
A11,42,A32,A42,7882,A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,1,0,45-59,High,15.76,2,4,3.18,High Risk
A11,24,A33,A40,4870,A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,2,1,45-59,Medium,14.61,3,4,3.5,High Risk
A14,36,A32,A46,9055,A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,1,0,35-44,High,18.11,2,3,3.06,High Risk
A14,24,A32,A42,2835,A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,1,0,45-59,Medium,8.51,2,3,2.34,Medium Risk
A12,36,A32,A41,6948,A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,1,0,35-44,High,13.9,2,2,2.44,Medium Risk
A14,12,A32,A43,3059,A64,A74,2,A91,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,1,0,60+,Medium,6.12,2,3,2.16,Medium Risk
A12,30,A34,A40,5234,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,2,1,25-34,High,20.94,1,2,2.5,Medium Risk
A12,12,A32,A40,1295,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,2,1,25-34,Low,3.88,2,2,1.69,Low Risk
A11,48,A32,A49,4308,A61,A72,3,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,2,1,18-24,Medium,12.92,2,4,2.97,Medium Risk
A12,12,A32,A43,1567,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,1,0,18-24,Low,1.57,2,2,1.52,Low Risk
A11,24,A34,A40,1199,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,2,1,60+,Low,4.8,1,4,1.96,Low Risk
A11,15,A32,A40,1403,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1,0,25-34,Low,2.81,2,4,2.21,Medium Risk
A11,24,A32,A43,1282,A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,2,1,25-34,Low,5.13,2,4,2.38,Medium Risk
A14,24,A34,A43,2424,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1,0,45-59,Medium,9.7,1,3,2.03,Medium Risk
A11,30,A30,A49,8072,A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,1,0,25-34,High,16.14,4,4,4.01,High Risk
A12,24,A32,A41,12579,A61,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,2,1,35-44,High,50.32,2,2,2.9,Medium Risk
A14,24,A32,A43,3430,A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,1,0,25-34,Medium,10.29,2,3,2.47,Medium Risk
A14,9,A34,A40,2134,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1,0,45-59,Medium,8.54,1,3,1.94,Low Risk
A11,6,A32,A43,2647,A63,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,1,0,35-44,Medium,5.29,2,4,2.4,Medium Risk
A11,10,A34,A40,2241,A61,A72,1,A93,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,1,0,45-59,Medium,2.24,1,4,1.77,Low Risk
A12,12,A34,A41,1804,A62,A72,3,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1,0,35-44,Low,5.41,1,2,1.41,Low Risk
A14,10,A34,A42,2069,A65,A73,2,A94,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,1,0,25-34,Medium,4.14,1,3,1.61,Low Risk
A11,6,A32,A42,1374,A61,A73,1,A93,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,1,0,35-44,Low,1.37,2,4,2.1,Medium Risk
A14,6,A30,A43,426,A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,1,0,35-44,Low,1.7,4,3,2.63,Medium Risk
A13,12,A31,A43,409,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1,0,35-44,Low,1.23,3,1,1.59,Low Risk
A12,7,A32,A43,2415,A61,A73,3,A93,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,1,0,25-34,Medium,7.24,2,2,1.94,Low Risk
A11,60,A33,A49,6836,A61,A75,3,A93,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,2,1,60+,High,20.51,3,4,3.9,High Risk
A12,18,A32,A49,1913,A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,1,0,35-44,Low,5.74,2,2,1.83,Low Risk
A11,24,A32,A42,4020,A61,A73,2,A93,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,1,0,25-34,Medium,8.04,2,4,2.6,Medium Risk
A12,18,A32,A40,5866,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,1,0,25-34,High,11.73,2,2,2.28,Medium Risk
A14,12,A34,A49,1264,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,1,0,45-59,Low,5.06,1,3,1.68,Low Risk
A13,12,A32,A42,1474,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,1,0,25-34,Low,5.9,2,1,1.54,Low Risk
A12,45,A34,A43,4746,A61,A72,4,A93,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,2,1,25-34,Medium,18.98,1,2,2.42,Medium Risk
A14,48,A34,A46,6110,A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,1,0,25-34,High,6.11,1,3,1.76,Low Risk
A13,18,A32,A43,2100,A61,A73,4,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,2,1,35-44,Medium,8.4,2,1,1.73,Low Risk
A13,10,A32,A44,1225,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1,0,35-44,Low,2.45,2,1,1.28,Low Risk
A12,9,A32,A43,458,A61,A73,4,A93,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,1,0,18-24,Low,1.83,2,2,1.54,Low Risk
A14,30,A32,A43,2333,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,1,0,25-34,Medium,9.33,2,3,2.4,Medium Risk
